utility_type,mix_param,dc_gr_sum,goods_num,scale_param,sb_gr_sum,max,min,familiar_share_gr_sum
cav-vex,0.8,0.9713150719247404,16,1,0.9526349497659599,1.0,0.9329918459368143,0.9426301438494809
random-cav,0.0,0.7451515819637073,16,5,0.6468362791647257,1.0,0.23997654579985936,0.5988957643637965
cav-vex,0.0,0.5204138094039304,16,5,0.5907984603324095,1.0,0.25054582573591394,0.625272912867957
random-cav,0.8,0.6876839950988939,16,5,0.6227683557881564,1.0,0.20048259150727543,0.6001580509372691
cav-vex,0.8,0.5268051225723281,16,5,0.5860704607231372,1.0,0.2005159753383674,0.6002579876691837
random-cav,0.0,0.8272744551489226,17,1,0.7733913950273809,1.0,0.6779135647835947,0.7458257237664749
cav-vex,0.0,0.8798690484639586,17,1,0.8662293367542511,1.0,0.7813862918719643,0.8672555269062661
random-cav,0.8,0.8823713560767279,17,1,0.820151585973867,1.0,0.7973388766295546,0.8191884479666466
cav-vex,0.8,0.9822524081133954,17,1,0.9675154831558642,1.0,0.941404670614272,0.9672020939063692
random-cav,0.0,0.7503980150972622,17,5,0.6391710384890679,1.0,0.20945307552400153,0.5919379617464018
cav-vex,0.0,0.48607122993004165,17,5,0.5700335188303571,1.0,0.21495090756606264,0.6074754537830312
random-cav,0.8,0.6995834950711465,17,5,0.6120400589272061,1.0,0.1858804552379976,0.5829552360863955
cav-vex,0.8,0.5021852746029961,17,5,0.577888498313417,1.0,0.1896681244717071,0.5948340622358536
random-cav,0.0,0.8422498508992804,18,1,0.8063229031418231,1.0,0.7351043893955326,0.7803747947365968
cav-vex,0.0,0.9494498953397198,18,1,0.9356888609067892,1.0,0.8903393241145079,0.945169662057254
random-cav,0.8,0.8624861291733599,18,1,0.7566751251168172,1.0,0.7397644941098364,0.7515983598722872
cav-vex,0.8,0.9413918205246444,18,1,0.9397248277595037,1.0,0.9050436126155756,0.9195214156273892
random-cav,0.0,0.694351537070823,18,5,0.6218745811986668,1.0,0.1832508305270689,0.5916254152635345
cav-vex,0.0,0.5127595955205482,18,5,0.5678913445453632,1.0,0.18325083052706892,0.5916254152635345
random-cav,0.8,0.6942298837669244,18,5,0.6004988668512666,1.0,0.19960953197486261,0.5998047659874314
cav-vex,0.8,0.5198679306875387,18,5,0.6031009157914198,1.0,0.19960953197486261,0.5998047659874314
random-cav,0.0,0.8733215053450126,19,1,0.7910256424166264,1.0,0.7406925982691456,0.7660980952831092
cav-vex,0.0,0.9655511773813814,19,1,0.9857235370318654,1.0,0.9358044682015084,0.9679022341007543
random-cav,0.8,0.8626890124828531,19,1,0.787836541977739,1.0,0.767677439440535,0.7768116984546847
cav-vex,0.8,0.9669763440776084,19,1,0.9642904060045482,1.0,0.9307070642043487,0.9417811416149562
random-cav,0.0,0.7330466152729088,19,5,0.6361571522388834,1.0,0.18342374367020972,0.5742880807322971
cav-vex,0.0,0.46340081642901554,19,5,0.5386514928271541,1.0,0.19004640126103503,0.5950232006305175
